,Unnamed: 0,STEM.TAG,QUAD,SUBQUAD,X,Y,SPECIES,CENSUS,DIAM,ALIVE,coords.x1,coords.x2,x_trans,y_trans
0,483994,17,101,13,2.72,14.52,SAPLAU,6,27.9,A,265146.551546574,254192.456587553,202227.66637308645,2028110.0095396093
1,484008,21,101,22,9.53,9.66,MANBID,6,26.0,A,265153.335347857,254187.596302614,202234.3621357397,2028105.0188691705
2,484038,31,101,32,13.3,5.83,DACEXC,6,41.6,A,265157.0867992,254183.76929218398,202238.04343224718,2028101.1191589793
3,484040,33,101,32,14.31,9.23,MANBID,6,39.7,A,265158.10754183197,254187.1578684,202239.1285666473,2028104.4902739828
4,484055,35,101,33,12.98,14.03,MANBID,6,55.6,A,265156.796328363,254191.94728813603,202237.90692258195,2028109.3069115067
5,484056,36,101,33,14.31,13.91,DACEXC,6,26.2,A,265158.124155131,254191.824942361,202239.23313911055,2028109.159478897
6,484069,43,101,41,15.11,4.01,MANBID,6,43.6,A,265158.887960637,254181.95067555198,202239.81126538606,2028099.2656473855
7,484093,1003,102,11,1.54,23.62,MANBID,6,27.6,A,265145.40540040197,254201.53382885898,202226.6906867202,2028119.113134275
8,484094,1004,102,11,0.19,24.76,DACEXC,6,49.0,A,265144.06122075603,254202.67339768,202225.3672781936,2028120.2786310054
9,484101,1005,102,12,4.31,26.3,LAEPRO,6,21.2,A,265148.181274992,254204.20085091898,202229.51827517676,2028121.72924187
10,484122,1020,102,21,6.73,24.22,CROPOE,6,22.2,A,265150.590712097,254202.12172450603,202231.8897930677,2028119.603620737
11,484125,1023,102,21,9.88,20.31,MANBID,6,42.5,A,265153.72269396,254198.21618305802,202234.94981539878,2028115.637011817
12,484155,1015,102,24,8.33,39.87,DACEXC,6,39.3,A,265152.244165299,254217.72527890198,202233.83816176752,2028135.184187537
13,484157,1017,102,24,8.61,36.11,DACEXC,6,45.7,A,265152.51045002,254213.975100302,202234.033913526,2028131.427026797
14,484171,1028,102,33,10.4,30.69,ANDINE,6,29.9,A,265154.27885827,254208.56646703603,202235.70132194523,2028125.9822353087
15,484172,1029,102,33,10.97,33.69,DACEXC,6,51.5,A,265154.858758999,254211.55703373603,202236.33788370108,2028128.9634398876
